文件名,问题,回答,评分,说明评分原因
职业责任和从业要求、BM要求 （庄琳璐）.pdf,中国船级社“内控B级”文件可以通过哪些系统或方式办理和传递，且禁止通过哪种方式拍照、传递、存储？,可在我社内网办公或业务系统（OA、MIS）办理，加密并脱密存储在互联网工作计算机或通过我社工作邮箱传递；不得通过微信拍照、传递、存储等。,,
职业责任和从业要求、BM要求 （庄琳璐）.pdf,《反不正当竞争法》第九条规定，经营者不得实施哪些侵犯商业秘密的行为？,"（一）以盗窃、贿赂、欺诈、胁迫、电子侵入或者其他不正当手段获取权利人的商业秘密；
（二）披露、使用或者允许他人使用以前项手段获取的权利人的商业秘密；
（三）违反保密义务或者违反权利人有关保守商业秘密的要求，披露、使用或者允许他人使用其所掌握的商业秘密；
（四）教唆、引诱、帮助他人违反保密义务或者违反权利人有关保守商业秘密的要求，获取、披露、使用或者允许他人使用权利人的商业秘密。",,
船海业务研讨 （戴臣福）.pdf,国际船舶检验业务中，高级技术服务人员需具备多少年以上新造船建造、监理或检验相关工作经历，并至少从事过哪些船型之一的新造船工作？,8年以上；大型LNG运输船、矿砂船、大型散货船、大型油轮、万箱及以上集装箱船其中之一以上的新造船工作。,,
船海业务研讨 （戴臣福）.pdf,进入密闭舱室前，验船师必须采取哪两项自身安全措施？,强制通风并检测气体,,
船海业务研讨 （戴臣福）.pdf,片段中列举的无损检测方法包括哪些缩写形式？,UT/RT/MT/PT,,
船海业务研讨 （戴臣福）.pdf,海工检验业务中，中级技术服务人员应达到取得检验资质多少年及以上验船师的能力，其编写的证书报告需由谁审核？,3年及以上；编写的证书报告需经正式验船师审核。,,
船海业务研讨 （戴臣福）.pdf,国际船舶新造船检验业务要求技术服务人员熟悉哪些核心国际公约示例？,SOLAS、MARPOL、LOAD LINE,,
船级社与入级概论[杨志勇].pdf,船舶检验的定义是什么，包括哪些主要工作和结果？,船舶检验系指船舶检验机构对船舶进行审图和检验，并签发相应证书或证明的过程。主要工作包括审图和检验，结果是签发相应证书或证明。,,
船级社与入级概论[杨志勇].pdf,入级服务流程包括从规范编制开始到船舶生命周期内哪些主要环节？,规范编制、船舶图纸审查、船舶及其相关产品的建造检验、签发证书、营运期验证船舶继续符合保持船级的相关条件和信息反馈。,,
船级社与入级概论[杨志勇].pdf,CCS对建造后船舶进行年度、中间、特别检验并签署或重新签发入级证书的周期一般为几年？,5年,,
船级社与入级概论[杨志勇].pdf,CCS《钢质海船入级规范》中定义的“规范”或“规范体系”包括哪些内容？,入级规范、专门规范、指南、计算软件,,
船级社与入级概论[杨志勇].pdf,COMPASS船舶规范校核和审图计算软件系统中，针对LNG船或LNG相关设备列举了哪些计算评估软件或船型？,C型LNG罐体规范计算软件；LNG船泵塔晃荡载荷加载及强度评估软件；薄膜型LNG船；C型LNG船；棱柱型LNG船,,
船级社与入级概论[杨志勇].pdf,CCS入级规范的编制原则中，规范（入级规范、专门规范、指南、计算软件）应符合质量体系规定的哪些过程？,起草、发放、评议、审定、批准、颁布,,
船级社与入级概论[杨志勇].pdf,《钢质海船入级规范》（2006）首次全部纳入了IACS的哪一类共同结构规范？,共同结构规范（CSR）,,
船级社与入级概论[杨志勇].pdf,CCS海船入级规范体系覆盖的船舶类型中，片段列举的液化天然气运输船（LNG）的舱容是多少立方米？,174000m3,,
船级社与入级概论[杨志勇].pdf,入级服务的目标是验证船体及附属物主要部件的哪些性能，以及推进系统、操舵系统、发电系统和其他辅助系统的哪些性能？,船体及附属物主要部件的结构强度和完整性；推进系统、操舵系统、发电系统以及船上装配的其他特征或辅助系统的可靠性和功能，能维持船上基本服务。,,
船级社与入级概论[杨志勇].pdf,建造后检验机制包括船体、机械设备和电气装置的哪些检验种类？,年度检验、中间检验、特别/换证检验、船底外部及有关项目检验、螺旋桨轴与尾管轴检验、锅炉检验、附加标志检验。,,
船级社与入级概论[杨志勇].pdf,美国海岸警卫队（USCG）和巴黎备忘录（PARIS MOU）等地区性港口当局监督组织使用什么制度作为选择船舶监督检查优先顺序的辅助手段？,计分制,,
船级社与入级概论[杨志勇].pdf,巴黎备忘录对上次监督检查“未发现缺陷”的船舶采取什么奖励方式，该奖励正分可抵消哪些负分？,给予奖励记正分奖励方式；奖励正分可以抵消船旗国或船级社的负分。,,
船级社与入级概论[杨志勇].pdf,港口当局检查官登船进行监督检查时，首先会对船舶形成什么印象，随后检查哪些相关证书和文件？,首先会对船舶概况有一总体印象；随后检查船舶相关证书和文件，包括船员资质证件。,,
船级社与入级概论[杨志勇].pdf,当港口当局检查官发现有“明显理由”认为船舶及其设备或船员资质不满足相关公约要求时，应进行何种检查，并应依据哪项IMO决议指南？,应进行“更为详细的检查”，并应按IMO A.787(19)决议《港口当局监督程序》中的“更为详细的检查”指南进行。,,
船级社与入级概论[杨志勇].pdf,CCS验船师受港口当局主管机关要求进行检查和检验时，无论单独进行还是与主管机关检查官一起进行，检查结果应向谁报告？,主管机关,,
船舶与海上设施类型[杨志勇].pdf,《船舶和海上设施检验条例》从检验角度如何定义“船舶”和“海上设施”？,"船舶：各类排水或非排水船艇、水上飞机、潜水器和移动平台；
海上设施：水上水下各种固定或浮动建筑、装置和固定平台。",,
船舶与海上设施类型[杨志勇].pdf,按航区分类时，海船和河船分别包含哪些航区等级或类别？,海船：无限、有限（R1/2/3）；河船：A、B、C、J,,
船舶与海上设施类型[杨志勇].pdf,按公约划分时，构造/设备、无线电、航行、载重线、散化液化和载客项目的公约与非公约界限分别是什么？,构造/设备：公约≥500GT，非公约<500GT；无线电：公约≥300GT，非公约<300GT；航行：公约≥150GT，非公约<150GT；载重线：公约>24m，非公约≤24m；散化液化：公约所有吨位，非公约无；载客：公约>12人，非公约≤12人。,,
船舶与海上设施类型[杨志勇].pdf,客船的定义中，载运乘客人数超过多少人时被认定为客船？,12人,,
船舶与海上设施类型[杨志勇].pdf,邮轮设计在结构和布置方面列出了哪些主要技术难点？,"基于母型船的概念设计和基本设计(关键性指标的准确性)；
多层甲板布置，结构受力复杂；
结构不连续，应力分布不均匀（贯通多层甲板的开口、游泳池/门窗大开口、救生艇存放位置缩进）；
舱壁甲板以下舱室布置及破舱稳性(渐进式浸水模拟)；
脱险通道布置及撤离分析(考虑紧急情况下船舶浮态)；
替代设计等效性分析(超长/超宽主竖区、大容量救生艇)；
安全返港和安全区域；",,
船舶与海上设施类型[杨志勇].pdf,液货船的定义是什么，其按货物类型包括哪些主要船舶类型？,运输散装液体货物的货船。按货物类型包括：油船，原油油船、原油/成品油油船、成品油油船、矿砂/散货/油类兼用船（O/B/O）、矿砂/油类兼用船（O/O）、穿梭油船和沥青船；液化气体船，LNG、LPG、LEG；化学品液货船。,,
船舶与海上设施类型[杨志勇].pdf,双舷侧散货船的所有货舱边界均为双舷侧结构时，其内、外壳之间的最小距离应满足什么要求？,大于或等于1000mm,,
船舶与海上设施类型[杨志勇].pdf,对船长90m及以上、全球不限航区的单舷侧或双壳结构散货船，应符合哪项共同结构规范？,IACS散货船共同结构规范（CSR）,,
船舶与海上设施类型[杨志勇].pdf,液化气体船在片段中列举了哪三种类型？,LNG、LPG、LEG,,
船舶与海上设施类型[杨志勇].pdf,石油沥青运输船货物操作温度一般在多少以上，且对货物舱边界与海水接触有何限制？,一般在1800C以上，不允许货物舱的边界直接与海水接触。,,
船舶与海上设施类型[杨志勇].pdf,液化气船中，2PG型（Type 2PG）适用的船长限制、释放阀最大调定值和设计温度要求分别是什么？,适用L≤150m；释放阀最大调定值至少为0.7MPa；设计温度为－55℃或以上。,,
船舶与海上设施类型[杨志勇].pdf,对于1986年7月1日之前建造并符合GC规则的液化气船，1G型、2G型、2PG型和3G型分别由哪些型式替代？,IG型、IIG型、IIPG型、IIIG型,,
船舶与海上设施类型[杨志勇].pdf,LNG运输船（LNG Carrier）的主要特征或用途是什么？,从事载运液化天然气（LNG）的船舶。,,
船舶与海上设施类型[杨志勇].pdf,LPG运输船适用于载运哪种货物，并由哪一规范对其构造与设备作出具体规定？,液化石油气（LPG）；《散装运输液化气体船舶构造与设备规范》有具体规定。,,
船舶与海上设施类型[杨志勇].pdf,液化气船中，1G型、2G型和3G型分别对应采取何种防漏保护措施的货物？,1G型：采用最严格防漏保护措施的货物；2G型：采用中等防漏保护措施的货物；3G型：采用中等防漏保护措施的货物。,,
船舶与海上设施类型[杨志勇].pdf,A类高速客船的主要特征中，载客人数不得超过多少人？,450人,,
船舶与海上设施类型[杨志勇].pdf,全垫升气垫船的船底四周采用什么结构封闭，并使用什么推进方式？,柔性围裙封闭，用空气螺旋桨推进,,
船舶与海上设施类型[杨志勇].pdf,地效翼船的航速可达到多少以上？,200km/h以上,,
船舶与海上设施类型[杨志勇].pdf,工程船舶按水上工程作业要求装备专用设备，主要从事哪些工程技术作业？,水面、水下各种工程技术作业,,
船舶与海上设施类型[杨志勇].pdf,近海供应船的破损稳性由哪项IMO决议作出专门规定？,IMO 决议 A.469,,
船舶与海上设施类型[杨志勇].pdf,第43页表格1的主题是大型船舶的哪一方面内容？,受力情况,,
船舶与海上设施类型[杨志勇].pdf,第44页表格1涉及大型船舶的哪项设计内容？,优化设计,,
船舶与海上设施类型[杨志勇].pdf,第45页表格1的主题与哪种船舶建造材料的使用有关？,高强度钢,,
船舶技术法规体系2024(1).pdf,船舶和海上设施技术规范体系从哪两个维度制定，并分别划分为哪些类别或模块？,船舶和海上设施技术规范体系从适用对象、技术功能两个维度制定。从适用对象维度，划分为商船、渔船、水上设施、船运集装箱、船用产品及特殊船舶等类别；从技术功能维度，划分为安全、绿色、智能三大模块。,,
船舶技术法规体系2024(1).pdf,海域航区等级、内河水域航区等级以及河海交界区水域航区等级分别如何划分？,海域的航区等级分为远海航区、近海航区、沿海航区和遮蔽航区。内河水域的航区等级分为A、B、C三级，依据水流速度又分为J1级、J2级急流航段；对于超过A级航区的湖区划分为H1、H2两个航区等级。河海交界区水域的航区等级为内河相当A级航区。,,
船舶技术法规体系2024(1).pdf,在绿色技术类低碳零碳的新能源清洁能源应用中，《天然气燃料动力船舶法定检验暂行规则（2018）》和《液化天然气燃料加注船舶法定检验暂行规则（2016）》的实施日期分别是什么？,2018年6月1日；2017年3月1日,,
船舶技术法规体系2024(1).pdf,液化天然气燃料内河加注趸船法定检验暂行规则（2018）的实施日期是什么？,2018年6月1日,,
船舶技术法规体系2024(1).pdf,船舶消防包括哪四个方面的要求，船舶灭火要求涵盖哪些灭火系统或设备？,船舶消防包括防火、探火、灭火、逃生四个方面的要求。船舶灭火要求涵盖水灭火系统、固定式气体灭火系统、固定式泡沫灭火系统、便携式灭火器等。,,
船舶技术法规体系2024(1).pdf,《内河船舶法定检验技术规则（2008年修改通报）》的实施日期是什么？,2008年 3月 1日,,
船舶技术法规体系2024(1).pdf,《船长5～10m内河C级航区客船稳性的简易计算（1997）》适用于哪一船长范围和航区等级的客船？,船长5～10m、内河C级航区客船,,
船舶技术法规体系2024(1).pdf,《钢质国内海洋渔船建造规范（船长大于或等于24m但小于或等于90m）（2019）》的实施日期是什么？,2019年 1月 15日,,
船舶技术法规体系2024(1).pdf,《浮式储存和再气化装置法定检验暂行规则（2020）》属于水上设施中的哪一类设施，其实施日期是什么？,浮动设施，2020年4月1日,,
船舶技术法规体系2024(1).pdf,标注“*”的检验技术要求在制定技术规范方面有什么说明？,标注“ * ”的检验技术要求可不制定单独的技术规范，一般属于适用对象技术规范的组成部分。,,
船舶消防(现场检验介绍)【范云】.pdf,自2026年1月1日起，含PFOS灭火介质中PFOS浓度超过多少时被定义为“containing PFOS”？,10mg/kg（0.001% by weight）,,
船舶消防(现场检验介绍)【范云】.pdf,高压二氧化碳灭火系统中，集合管至分配阀箱的总管上压力表最大量程应为工作压力的多少倍？,1.5倍,,
船舶消防(现场检验介绍)【范云】.pdf,油柜速闭阀若不直接装设于油柜，按规范可装设在焊于油柜舱壁上的刚性短管上，该短管长度计算公式是什么？,L=0.8D+80mm,,
船舶消防(现场检验介绍)【范云】.pdf,液货船驾驶室外部门窗按MSC/Circ.1120进行冲水气密试验时，喷嘴直径、水压和喷嘴至门窗距离分别应满足什么要求？,喷嘴直径：不小于12mm；喷嘴前水压：不小于0.2N/mm2；喷嘴至门窗距离：不大于1.5m。,,
船舶消防(现场检验介绍)【范云】.pdf,惰性气体系统向液货舱输送惰性气体时，其输送能力至少应达到船舶最大卸货速率（按体积计）的多少？,125%,,
船舶消防(现场检验介绍)【范云】.pdf,惰性气体系统中，含氧量超过多少时应触发听觉和视觉报警？,5%,,
船舶消防(现场检验介绍)【范云】.pdf,氮气发生器单独舱室的独立机械抽吸通风系统每小时应换气多少次？,6次,,
船舶消防(现场检验介绍)【范云】.pdf,固定式探火和失火报警系统中，起居处所梯道、走廊和脱险通道的感烟探测器应在烟密度超过每米多少减光率前动作？,12.5％的减光率,,
船舶消防(现场检验介绍)【范云】.pdf,防火结构中，A级分隔背火面的平均温度较初始温度升高不得超过多少摄氏度？,140℃,,
船舶消防(现场检验介绍)【范云】.pdf,水灭火系统中，对于液货船，液货舱甲板上消防总管隔离阀的间距不得超过多少米？,40m,,
船舶消防(现场检验介绍)【范云】.pdf,客船上的消防泵所要求总排量应不少于各舱底泵用于舱底水泵送时所要求排量的多少比例？,三分之二,,
船舶消防(现场检验介绍)【范云】.pdf,货船上除任何应急泵以外的消防泵要求总排量在无特别规定时是否需要超过180m3/h？,不需要。除非特别规定，货船消防泵要求总排量不必超过180m3/h。,,
船舶消防(现场检验介绍)【范云】.pdf,每台所要求的消防泵在任何情况下的排量最低不得少于多少m3/h，并且至少应能提供几股水柱？,25m3/h，两股水柱,,
船舶消防(现场检验介绍)【范云】.pdf,应急消防泵的排量应不少于SOLAS公约第II-2/10.2.2.4.1条所要求消防泵排量的多少比例？,40%,,
船舶消防(现场检验介绍)【范云】.pdf,消防水带的长度至少为多少米，在机器处所内、其他处所和开敞甲板上、以及最大型宽大于30m船舶的开敞甲板上分别不得超过多少米？,消防水带的长度至少为10m；在机器处所内不得超过15m；在其他处所内和开敞甲板上不得超过20m；在最大型宽大于30m船舶的开敞甲板上不得超过25m。,,
船舶稳性-2025(周耀华).pdf,船舶稳性按船舶倾斜方向可分为哪两类，分别对应绕哪个轴倾斜时的稳性？,横稳性：船舶绕纵向轴（x轴）横倾时的稳性；纵稳性：船舶绕横向轴（y轴）纵倾时的稳性。,,
船舶稳性-2025(周耀华).pdf,国际海事组织在1985年通过的海大A.562(14)决议，其制定目的是什么？,弥补海大A.167决议的不足,,
船舶稳性-2025(周耀华).pdf,《2008年国际完整稳性规则》分为哪两个部分，其强制性属性分别是什么？,强制性的Part A和非强制性的Part B,,
船舶稳性-2025(周耀华).pdf,影响船舶稳性的因素包括哪四项？,"几何形状
装载状态
船内重物移动，悬挂重物
自由液面",,
船舶稳性-2025(周耀华).pdf,国内航行客船等级划分中，Ⅱ级沿海客船在黄海、东海、北部湾、渤海湾、琼州海峡、雷州半岛东海岸和西海岸航行时，航程距庇护地距离要求是多少？,≥10 n mile,,
船舶结构检验授课讲义-（王海雄）.pdf,入级过程由哪些阶段组成？,"（1）规范的制订；
（2）通过审图、建造中检验，确认其符合这些规范的要求；
（3）当确认符合后，授予船级和签发入级证书；
（4）通过建造后检验，确认其符合这些规范的要求，签署或签发入级证书；
（5）信息的应用。",,
船舶结构检验授课讲义-（王海雄）.pdf,船体建造中由验船师直接介入的检验方式包括哪三种类型？,巡检、审查、现场见证,,
船舶结构检验授课讲义-（王海雄）.pdf,开工前检查中，哪些图纸应经验船师认可？,"焊接规格表
密性试验图
无损探伤布置图
相关的试验大纲",,
船舶结构检验授课讲义-（王海雄）.pdf,焊工资格确认中，焊工通过的资格认可与哪些焊接变量有关？,焊接方法；焊接接头型式；母材材质；板厚（管子包括壁厚和管径）；焊接材料类型；焊接位置。,,
船舶结构检验授课讲义-（王海雄）.pdf,气密试验检查前，建议将被试验液舱内的空气压力升到多少并保持多长时间，随后降低到多少进行检查？,0.02MPa，并保持1h；随后降低到0.015MPa进行检查。,,
船舶结构检验授课讲义-（王海雄）.pdf,船体大合拢焊缝的无损探伤一般应以哪种探伤方法为主？,射线探伤,,
船舶结构检验授课讲义-（王海雄）.pdf,对分段和骨材对接焊缝，在经验船师同意后可部分采用超声波探伤时，为什么仍需使用适当数量的射线探伤？,以查验超声波探伤结果。,,
船舶结构检验授课讲义-（王海雄）.pdf,磁粉探伤适用于检测焊缝哪些部位的焊接缺陷，并且不能确定缺陷的哪一项参数？,焊缝表面或近表面的焊接缺陷；不能确定缺陷的深度。,,
船舶结构检验授课讲义-（王海雄）.pdf,渗透探伤的操作步骤依次包括哪些环节？,清洗、渗透、再清洗、干燥、显影,,
船舶结构检验授课讲义-（王海雄）.pdf,验收探伤片时，如发现缺陷可能向一端或两端延伸，应采取什么检验措施？,在可能延伸的方向上增加探伤范围。,,
规范体系框架纲要.pdf,CCS规范体系框架根据主要服务分为哪三大块？,入级规则和规范；其他技术标准；软件,,
规范体系框架纲要.pdf,检验规则对哪些检验周期和项目作出规定，其通用检验规则主要包括哪些检验类型？,检验规则对检验周期和项目等作出规定。其通用检验规则主要包括建造中检验、建造后检验、产品检验、附加标志检验和非入级检验的具体检验要求。,,
规范体系框架纲要.pdf,基础规范按哪些类别分类，并规定船舶和海上设施设计建造的什么要求？,基础规范按海船、河船、海工、渔船、特种船、支持所有基础规范的通用规范等分类，规定船舶和海上设施设计建造最基本的技术要求。,,
规范体系框架纲要.pdf,专用规范通常依据哪些对象进行分类，并应与哪一类规范配套使用？,专用规范通常依据船舶类型、海上设施类型、专业技术进行分类，并应与基础规范配套使用。,,
规范体系框架纲要.pdf,CCS计算软件的计算结果在什么条件下方可作为规范或指南相应技术要求实施的依据？,经 CCS审核后方可作为规范或指南相应技术要求实施的依据。,,
规范体系框架纲要.pdf,第4篇建造后检验第1章通则中列明的检验种类与周期包括哪些检验类型？,初次入级检验、年度检验、中间检验、特别检验、船底外部及有关项目的检验、螺旋桨轴与尾管轴检验、锅炉检验、循环检验、机械计划保养系统检验、搁置检验、临时检验,,
规范体系框架纲要.pdf,第4篇第2章海船的一般规定中，检验前准备之外还包括哪些与测厚、近观检验和远程检查技术相关的内容？,测厚程序、测厚与近观检验、远程检查技术(RIT),,
规范体系框架纲要.pdf,海船建造后检验章节中，针对液化气体船列出了哪一项船体与设备检验补充要求？,液化气体船的船体与设备检验补充要求,,
规范体系框架纲要.pdf,第6篇非入级检验第1章通则中，检验种类与周期包括哪些定期或专项检验项目？,建造检验、初次检验、定期检验（年度检验、中间检验、换证检验）、船底外部检查、螺旋桨轴与尾管轴检验、锅炉检验、特别定期检验、临时检验等,,
规范体系框架纲要.pdf,《散装运输液化气体船舶入级规范》是以哪一部规范中的附加标志和技术内容为基础进行调整的？,《散装运输液化气体船舶构造与设备规范》,,
起重设备案例 【龚泓】.pdf,船舶起重设备规范适用于船舶和海上设施用的哪些类型起重设备？,"吊杆装置，包括吊杆式起重机；
船舶起重机；
潜水器吊放系统；
船舶乘客与船员用升降机；
船舶货物、车辆升降机",,
起重设备案例 【龚泓】.pdf,吊杆装置中轻型吊杆和重型吊杆分别按安全工作负荷SWL如何划分？,轻型吊杆：SWL≤98kN；重型吊杆：SWL≥98kN。,,
起重设备案例 【龚泓】.pdf,起重设备初次检验时，安装完毕后应按规范第7章进行试验并确认哪些功能和结构状态？,确认整个设备有效地和安全地工作，任何停车、控制和类似装置的功能应正确。试验后，装置及其支承结构均应经检验确信无变形或扭曲。,,
起重设备案例 【龚泓】.pdf,规范7.4中，起重设备或货物、车辆升降机在SWL≤196kN、196＜SWL≤490kN、SWL＞490kN三种情况下的试验负荷分别是多少？,"SWL≤196kN：1.25×SWL
196＜SWL≤490kN：SWL+49
SWL＞490kN：1.1×SWL",,
起重设备案例 【龚泓】.pdf,船用电梯在船舶摇摆工况下运行时，横摇和纵摇的角度及周期要求分别是多少？,横摇：±10°，周期10s；纵摇：±7.5°，周期7s。,,
轮机检验（陈卫华）.pdf,管子及附件装船前液压试验中，哪些管系及其附件必须进行液压试验？,所有Ⅰ级和Ⅱ级管系以及设计压力>0.35MPa的蒸汽、给水、压缩空气、滑油和燃油管系及其附件。,,
轮机检验（陈卫华）.pdf,管系液压试验的一般试验压力如何确定，当温度超过多少摄氏度时需参见规范特殊要求？,一般为Ps＝1.5P或按批准的图纸的要求；当温度超过300℃时需参见规范特殊要求。,,
轮机检验（陈卫华）.pdf,液压强度试验时，排除管内空气的方法和加压、泄压要求是什么？,低处进水，高处排气，直到水溢出高端管口为止。加压和泄压应平缓。,,
轮机检验（陈卫华）.pdf,用于Ⅰ级和Ⅱ级管系且与管系非一体式的阀和附件，装船前液压试验压力不得小于设计压力的多少倍？,1.5倍,,
轮机检验（陈卫华）.pdf,安装在载重线之下舷侧的阀件、旋塞和接管，其液压试验压力应不小于多少MPa？,0.5MPa,,
轮机检验（陈卫华）.pdf,轴系安装和校中检验原则中，轴系部件的材质、尺寸应与哪些技术文件保持一致？,轴系强度计算书、轴件图及尾管总图,,
轮机检验（陈卫华）.pdf,对于螺旋桨与螺旋桨轴采用键安装时，螺旋桨轴端的锥度应不大于多少？,1/10,,
轮机检验（陈卫华）.pdf,尾轴管在船上安装以前，片段中要求进行多大压力的液压试验？,0.2MPa,,
轮机检验（陈卫华）.pdf,柴油机按额定转速分类时，低速、中速和高速柴油机的转速范围分别是什么？,低速：no<300r/min；中速：300r/min≤no<1400r/min；高速：no≥1400r/min,,
轮机检验（陈卫华）.pdf,应急发电机组自动起动时，起动装置应配备至少能供几次连续起动的能源？,3次,,
轮机检验（陈卫华）.pdf,应急柴油发电机组负荷试验中，100%额定功率和110%额定功率分别应持续多长时间？,100%额定功率：1h；110%额定功率：10min,,
轮机检验（陈卫华）.pdf,根据CCS钢规第3篇第9章附录6，驱动定螺距螺旋桨或叶轮的主推进柴油机在额定转速n0下至少应试验多长时间？,至少4h,,
轮机检验（陈卫华）.pdf,热态轴承负荷测量过程中，对船舶吃水状态有什么要求？,测量过程中，保持船舶吃水状态不变。,,
轮机检验（陈卫华）.pdf,舵机试验中，对舵角指示偏差的要求是什么？,0°时无偏差，其他角度时偏差不超过±1°,,
轮机检验（陈卫华）.pdf,锅炉蓄压试验中，烟管锅炉在安全阀开启后15min内压力最高值不得超过锅炉设计压力的多少？,110%,,
通讯导航设备要求.pdf,VHF设备检验时，关断GPS接收机后大约等待多长时间应出现位置信息丢失报警？,5分钟左右,,
通讯导航设备要求.pdf,MF/HF设备的驾驶台遥控器必须能在哪六个DSC遇险呼叫频率上选择或扫描发射遇险报警？,2187.5、4207.5、6312、8414.5、12577、16804.5kHz,,
通讯导航设备要求.pdf,NAVTEX设备在2024年1月1日之后安装上船时，第一个接收机应工作在哪个国际NAVTEX系统频率上？,518kHz,,
通讯导航设备要求.pdf,VDR备用电源容量试验中，断开外部电源后备用电源应能记录多长时间并在何时自动停止？,大于1小时55分钟，并且在小于2小时5分钟时自动停止,,
通讯导航设备要求.pdf,散货船货舱浸水探测报警系统中，压力式传感器的1级报警和2级报警高度分别设置为多少？,1级报警设置高度为0.5m，2级报警高度设置为2m,,
验船师人身职业健康安全[杨志勇].pdf,检验人员进入封闭处所前，封闭处所内氧气含量应符合什么范围，哪些氧气含量条件下不应进入？,封闭处所内氧气含量应为20.6%-22%；氧气含量低于20.6%或高于22%时不应进入。,,
验船师人身职业健康安全[杨志勇].pdf,复合式气体测量仪对O2、LEL、CO和H2S的低报警值和高报警值分别设定为多少？,"O2：低报警值19.5%，高报警值23.5%
LEL：低报警值10%LEL，高报警值20%LEL
CO：低报警值16PPM，高报警值24PPM
H2S：低报警值5PPM，高报警值10PPM",,
验船师人身职业健康安全[杨志勇].pdf,进入封闭处所前，应通过哪些程序或确认措施后方可进入？,进入封闭处所之前应先通风，确保现场的作业许可/安全确认证明文件有效；只有在签发了进入许可证，并经气体检测仪确认后再进入。进入前应证实封闭处所中空气符合：氧气含量20.6%-22%；可燃气体小于爆炸下限（LFL）的1%；有毒气体测试仪读数不超过职业暴露极限（OEL）的50%。如复合式气量仪报警，必须马上撤离。,,
验船师人身职业健康安全[杨志勇].pdf,高处作业中，当验船师位于可能坠落高度多少米及以上的未经保护边缘位置时，应采取栏杆、安全网或个人防跌落装备防护？,1.8米及以上,,
验船师人身职业健康安全[杨志勇].pdf,梯子安全使用方法中，爬梯应伸至高出其上平台至少多少米，且每1.2米垂直距离其底部应伸出多少毫米？,1米，300mm,,
